"1997-2001: Boy-Girl bands & Pop starlets";"1997-2001: Boy-Girl bands & Pop starlets";"1997-2001: Boy-Girl bands & Pop starlets";"1997-2001: Boy-Girl bands & Pop starlets"
"Songs";"Weeks on Hot 100's 1st position";"Electronic backing";"Vocal accompaniment (choruses) in close harmony"
1997;1997;1997;1997
"Boyz II Men - 4 Seasons Of Loneliness";1;"yes";"yes"
"Elton John - Candle In The Wind 1997-Something About The Way You Look Tonight";12;"no";"no"
"Hanson - Mmmbop";3;"no";"yes"
"Mariah Carey - Honey";3;"yes";"yes"
"Puff Daddy Featuring Mase - Can't Nobody Hold Me Down";6;"yes";"no"
"Puff Daddy & Faith Evans Featuring 112 - I'll Be Missing You";11;"no";"no"
"Spice Girls - Wannabe";4;"yes";"yes"
"The Notorious B.I.G. - Hypnotize";3;"yes";"no"
"The Notorious B.I.G. Featuring Puff Daddy & Mase - Mo Money Mo Problems";2;"yes";"no"
"Toni Braxton - Un-Break My Heart";7;"no";"no"
1998;1998;1998;1998
"Aerosmith - I Don't Want To Miss A Thing";4;"no";"no"
"Barenaked Ladies - One Week";1;"no";"no"
"Brandy & Monica - The Boy Is Mine";13;"yes";"yes"
"Celine Dion - My Heart Will Go On";2;"no";"no"
"Divine - Lately";1;"yes";"yes"
"Elton John - Candle In The Wind 1997-Something About The Way You Look Tonight";2;"no";"no"
"Janet Jackson - Together Again";2;"yes";"yes"
"K-Ci & JoJo - All My Life";3;"yes";"yes"
"Lauryn Hill - Doo Wop (That Thing)";2;"yes";"yes"
"Mariah Carey - My All";1;"no";"no"
"Monica - The First Night";5;"yes";"yes"
"Next - Too Close";5;"yes";"yes"
"R. Kelly - I'm Your Angel";4;"yes";"no"
"Savage Garden - Truly Madly Deeply";2;"yes";"yes"
"Usher - Nice & Slow";2;"yes";"yes"
"Will Smith - Gettin' Jiggy Wit It";3;"yes";"no"
1999;1999;1999;1999
"Brandy - Have You Ever";2;"no";"yes"
"Britney Spears - ...Baby One more Time";2;"yes";"yes"
"Cher - Believe";4;"yes";"no"
"Christina Aguilera - Genie In A Bottle";5;"yes";"yes"
"Destiny's Child - Bills, Bills, Bills";1;"yes";"yes"
"Enrique Iglesias - Bailamos";2;"no";"yes"
"Jennifer Lopez - If You Had My Love";5;"yes";"no"
"Mariah Carey Featuring Jay-Z - Heartbreaker";2;"yes";"yes"
"Monica - Angel Of Mine";4;"yes";"yes"
"R. Kelly - I'm Your Angel";2;"yes";"no"
"Ricky Martin - Livin' La Vida Loca";5;"yes";"no"
"Santana Featuring Rob Thomas - Smooth";10;"no";"no"
"TLC - No Scrubs";4;"yes";"no"
"TLC - Unpretty";3;"yes";"yes"
"Will Smith Featuring Dru Hill - Wild Wild West";1;"no";"no"
2000;2000;2000;2000
"Aaliyah - Try Again";1;"yes";"no"
"Christina Aguilera - Come On Over Baby (All I Want Is You)";4;"yes";"yes"
"Christina Aguilera - What A Girl Wants";2;"yes";"yes"
"Creed - With Arms Wide Open";1;"no";"no"
"Destiny's Child - Independent Women Part 1";7;"yes";"yes"
"Destiny's Child - Say My Name";3;"yes";"yes"
"Enrique Iglesias - Be With You";3;"yes";"yes"
"Janet Jackson - Doesn't Really Matter";3;"yes";"yes"
"Lonestar - Amazed";2;"no";"yes"
"Madonna - Music";4;"yes";"no"
"Mariah Carey Featuring Joe - Thank God I Found You";1;"yes";"yes"
"Matchbox Twenty - Bent";1;"no";"no"
"N Sync - It's Gonna Be Me";2;"yes";"yes"
"Santana Featuring Rob Thomas - Smooth";2;"no";"no"
"Santana Featuring The Product G&B - Maria Maria";10;"no";"no"
"Savage Garden - I Knew I Loved You";4;"no";"no"
"Sisqo - Incomplete";2;"yes";"no"
"Vertical Horizon - Everything You Want";1;"no";"no"
2001;2001;2001;2001
"Alicia Keys - Fallin'";6;"yes";"yes"
"Christina Aguilera, Lil' Kim, Mya & Pink - Lady Marmalade";5;"yes";"yes"
"Crazy Town - Butterfly";2;"no";"no"
"Destiny's Child - Bootylicious";2;"yes";"yes"
"Destiny's Child - Independent Women Part 1";4;"yes";"yes"
"Janet Jackson - All For You";7;"yes";"yes"
"Jennifer Lopez Featuring Ja Rule - I'm Real";5;"yes";"no"
"Joe Featuring Mystikal - Stutter";4;"no";"yes"
"Mary J. Blige - Family Affair";6;"yes";"yes"
"Nickelback - How You Remind Me";2;"no";"no"
"Outkast - Ms. Jackson";1;"yes";"yes"
"Shaggy Featuring Rayvon - Angel";1;"yes";"no"
"Shaggy Featuring Ricardo 'RikRok' Ducent - It Wasn't Me";2;"yes";"no"
"Usher - U Got It Bad";1;"yes";"yes"
"Usher - U Remind Me";4;"yes";"yes"
