"1975-1979: Disco & Punk";"1975-1979: Disco & Punk";"1975-1979: Disco & Punk";"1975-1979: Disco & Punk";"1975-1979: Disco & Punk"
"Songs";"Weeks on Hot 100's 1st position";"Backing keyboard instruments (piano, electric organ, string synth, electromechanical keyboards)";"Orchestral instruments (bowed string or brass sections)";"Distorted power chords"
1975;1975;1975;1975;1975
"America - Sister Golden Hair";1;"no";"no";"no"
"AWB - Pick Up The Pieces";1;"yes";"yes";"no"
"B.J. Thomas - (Hey Won't You Play) Another Somebody Done Somebody Wrong Song";1;"yes";"no";"no"
"Barry Manilow - Mandy";1;"yes";"yes";"no"
"Bee Gees - Jive Talkin'";2;"yes";"no";"no"
"Captain & Tennille - Love Will Keep Us Together";4;"yes";"no";"no"
"Carpenters - Please Mr. Postman";1;"yes";"no";"no"
"David Bowie - Fame";2;"no";"no";"yes"
"Eagles - Best of My Love";1;"no";"no";"no"
"Eagles - One Of These Nights";1;"no";"no";"no"
"Earth, Wind & Fire - Shining Star";1;"yes";"yes";"no"
"Elton John - Island Girl";3;"yes";"no";"no"
"Elton John - Lucy In The Sky With Diamonds";2;"yes";"no";"no"
"Frankie Valli - My Eyes Adored You";1;"yes";"no";"no"
"Freddy Fender - Before The Next Teardrop Falls";1;"no";"no";"no"
"Glen Campbell - Rhinestone Cowboy";2;"yes";"yes";"no"
"Hamilton, Joe Frank & Reynolds - Fallin' In Love";1;"yes";"yes";"no"
"John Denver - I'm Sorry";1;"no";"yes";"no"
"John Denver - Thank God I'm A Country Boy";1;"no";"no";"no"
"KC And The Sunshine Band - Get Down Tonight";1;"yes";"yes";"no"
"KC And The Sunshine Band - That's The Way (I Like It)";2;"yes";"yes";"no"
"Labelle - Lady Marmalade";1;"yes";"yes";"no"
"Linda Ronstadt - You're No Good";1;"yes";"no";"no"
"Minnie Riperton - Lovin' You";1;"no";"yes";"no"
"Neil Sedaka - Bad Blood";3;"no";"yes";"no"
"Neil Sedaka - Laughter In The Rain";1;"yes";"yes";"no"
"Ohio Players - Fire";1;"no";"yes";"no"
"Olivia Newton-John - Have You Never Been Mellow";1;"no";"yes";"no"
"Silver Convention - Fly Robin, Fly";3;"yes";"yes";"no"
"The Doobie Brothers - Black Water";1;"no";"no";"no"
"The Elton John Band - Philadelphia Freedom";2;"yes";"yes";"no"
"The Staple Singers - Let's Do It Again";1;"no";"yes";"no"
"Tony Orlando & Dawn - He Don't Love You Like I Love You";3;"no";"yes";"no"
"Van McCoy And The Soul City Symphony - The Hustle";1;"yes";"yes";"no"
"Wings - Listen To What The Man Said";1;"no";"no";"no"
1976;1976;1976;1976;1976
"Barry Manilow - I Write The Songs";1;"yes";"yes";"no"
"Bay City Rollers - Saturday Night";1;"yes";"no";"no"
"Bee Gees - You Should Be Dancing";1;"yes";"yes";"no"
"Bellamy Brothers - Let Your Love Flow";1;"no";"no";"no"
"Chicago - If You Leave Me Now";2;"no";"yes";"no"
"CW McCall - Convoy";1;"no";"yes";"no"
"Diana Ross - Love Hangover";2;"yes";"yes";"no"
"Diana Ross - Theme From Mahogany (Do You Know Where You're Going To)";1;"yes";"yes";"no"
"Elton John & Kiki Dee - Don't Go Breaking My Heart";4;"yes";"yes";"no"
"John Sebastian - Welcome Back";1;"yes";"no";"no"
"Johnnie Taylor - Disco Lady";4;"yes";"yes";"no"
"KC And The Sunshine Band - (Shake, Shake, Shake) Shake Your Booty";1;"yes";"yes";"no"
"Ohio Players - Love Rollercoaster";1;"yes";"yes";"no"
"Paul Simon - 50 Ways To Leave Your Lover";3;"no";"no";"no"
"Rhythm Heritage - Theme From S.W.A.T.";1;"yes";"yes";"no"
"Rick Dees & His Cast Of Idiots - Disco Duck (Part I)";1;"no";"yes";"no"
"Rod Stewart - Tonight's The Night (Gonna Be Alright)";7;"no";"yes";"no"
"Starland Vocal Band - Afternoon Delight";2;"no";"yes";"no"
"Steve Miller - Rock'n Me";1;"no";"no";"no"
"The 4 Seasons - December, 1963 (Oh, What A Night)";3;"yes";"yes";"no"
"The Manhattans - Kiss And Say Goodbye";2;"no";"yes";"no"
"The Miracles - Love Machine [Part 1]";1;"yes";"yes";"no"
"The Sylvers - Boogie Fever";1;"yes";"yes";"no"
"Walter Murphy & The Big Apple Band - A Fifth Of Beethoven";1;"yes";"yes";"no"
"Wild Cherry - Play That Funky Music";3;"yes";"yes";"no"
"Wings - Silly Love Songs";5;"yes";"yes";"no"
1977;1977;1977;1977;1977
"ABBA - Dancing Queen";1;"yes";"yes";"no"
"Alan O'Day - Undercover Angel";1;"yes";"no";"no"
"Andy Gibb - I Just Want To Be Your Everything";4;"yes";"yes";"no"
"Barbra Streisand - Evergreen (Love Theme From A Star Is Born)";3;"no";"yes";"no"
"Barry Manilow - Looks Like We Made It";1;"yes";"yes";"no"
"Bee Gees - How Deep Is Your Love";2;"yes";"yes";"no"
"Bill Conti - Gonna Fly Now";1;"no";"yes";"no"
"Daryl Hall And John Oates - Rich Girl";2;"no";"yes";"no"
"David Soul - Don't Give Up On Us";1;"yes";"yes";"no"
"Debby Boone - You Light Up My Life";10;"yes";"yes";"no"
"Eagles - Hotel California";1;"yes";"no";"yes"
"Eagles - New Kid In Town";1;"no";"no";"no"
"Fleetwood Mac - Dreams";1;"yes";"no";"no"
"Glen Campbell - Southern Nights";1;"yes";"yes";"no"
"KC And The Sunshine Band - I'm Your Boogie Man";1;"yes";"yes";"no"
"Leo Sayer - When I Need You";1;"no";"yes";"no"
"Leo Sayer - You Make Me Feel Like Dancing";1;"yes";"yes";"no"
"Manfred Mann's Earth Band - Blinded By The Light";1;"yes";"no";"no"
"Marilyn McCoo & Billy Davis Jr. - You Don't Have To Be A Star (To Be In My Show)";1;"yes";"yes";"no"
"Marvin Gaye - Got To Give It Up (Pt. I)";1;"yes";"no";"no"
"Mary MacGregor - Torn Between Two Lovers";2;"yes";"yes";"no"
"Meco - Star Wars Theme-Cantina Band";2;"yes";"yes";"no"
"Rod Stewart - Tonight's The Night (Gonna Be Alright)";1;"no";"yes";"no"
"Rose Royce - Car Wash";1;"yes";"yes";"no"
"Shaun Cassidy - Da Doo Ron Ron";1;"yes";"yes";"no"
"Stevie Wonder - I Wish";1;"no";"yes";"no"
"Stevie Wonder - Sir Duke";3;"yes";"yes";"no"
"The Emotions - Best Of My Love";5;"yes";"yes";"no"
"Thelma Houston - Don't Leave Me This Way";1;"yes";"yes";"no"
1978;1978;1978;1978;1978
"A Taste Of Honey - Boogie Oogie Oogie";3;"yes";"no";"no"
"Andy Gibb - (Love Is) Thicker Than Water";2;"no";"no";"no"
"Andy Gibb - Shadow Dancing";7;"yes";"no";"no"
"Anne Murray - You Needed Me";1;"no";"yes";"no"
"Barbra Streisand & Neil Diamond - You Don't Bring Me Flowers";2;"yes";"yes";"no"
"Bee Gees - How Deep Is Your Love";1;"yes";"yes";"no"
"Bee Gees - Night Fever";8;"yes";"yes";"no"
"Bee Gees - Stayin' Alive";4;"yes";"yes";"no"
"Chic - Le Freak";3;"yes";"yes";"no"
"Commodores - Three Times A Lady";2;"yes";"yes";"no"
"Donna Summer - MacArthur Park";3;"yes";"yes";"no"
"Exile - Kiss You All Over";4;"yes";"yes";"no"
"Frankie Valli - Grease";2;"yes";"yes";"no"
"John Travolta & Olivia Newton-John - You're The One That I Want";1;"yes";"yes";"no"
"Johnny Mathis And Deniece Williams - Too Much, Too Little, Too Late";1;"no";"yes";"no"
"Nick Gilder - Hot Child In The City";1;"no";"no";"no"
"Player - Baby Come Back";3;"yes";"no";"no"
"The Rolling Stones - Miss You";1;"no";"no";"yes"
"Wings - With A Little Luck";2;"yes";"no";"no"
"Yvonne Elliman - If I Can't Have You";1;"no";"yes";"no"
1979;1979;1979;1979;1979
"Amii Stewart - Knock On Wood";1;"yes";"yes";"yes"
"Anita Ward - Ring My Bell";2;"no";"no";"no"
"Barbra Streisand & Donna Summers - No More Tears (Enough Is Enough)";2;"no";"yes";"no"
"Bee Gees - Love You Inside Out";1;"yes";"yes";"no"
"Bee Gees - Too Much Heaven";2;"no";"yes";"no"
"Bee Gees - Tragedy";2;"yes";"yes";"no"
"Blondie - Heart Of Glass";1;"yes";"no";"no"
"Chic - Good Times";1;"yes";"yes";"no"
"Chic - Le Freak";3;"yes";"yes";"no"
"Commodores - Still";1;"yes";"yes";"no"
"Donna Summer - Bad Girls";5;"yes";"yes";"no"
"Donna Summer - Hot Stuff";3;"yes";"yes";"no"
"Doobie Brothers - What A Fool Believes";1;"yes";"no";"no"
"Eagles - Heartache Tonight";1;"no";"no";"yes"
"Gloria Gaynor - I Will Survive";3;"yes";"yes";"no"
"Herb Alpert - Rise";2;"yes";"yes";"no"
"M - Pop Muzik";1;"yes";"yes";"no"
"Michael Jackson - Don't Stop 'Til You Get Enough";1;"yes";"yes";"no"
"Peaches & Herb - Reunited";4;"no";"yes";"no"
"Robert John - Sad Eyes";1;"yes";"yes";"no"
"Rod Stewart - Da Ya Think I'm Sexy";4;"yes";"yes";"no"
"Rupert Holmes - Escape (The Pina Colada Song)";2;"yes";"no";"no"
"Styx - Babe";2;"yes";"yes";"no"
"The Knack - My Sharona";6;"no";"no";"yes"
