"2012-2016: Trap";"2012-2016: Trap";"2012-2016: Trap";"2012-2016: Trap"
"Songs";"Weeks on Hot 100's 1st position";"Sub-bass double/triple kick drums";"Double-time, triple-time, twitchy hi-hats"
2012;2012;2012;2012
"Adele - Set Fire To The Rain";2;"no";"no"
"Bruno Mars - Locked Out Of Heaven";2;"no";"no"
"Carly Rae Jepsen - Call Me Maybe";9;"no";"no"
"Flo Rida - Whistle";2;"no";"no"
"Fun Featuring Janelle Monae - We Are Young";6;"no";"no"
"Gotye Featuring Kimbra - Somebody That I Used To Know";8;"no";"no"
"Katy Perry - Part Of Me";1;"no";"no"
"Kelly Clarkson - Stronger (What Doesn't Kill You)";3;"no";"no"
"LMFAO - Sexy And I Know It";2;"no";"no"
"Maroon 5 - One More Night";9;"yes";"no"
"Rihanna - Diamonds";3;"no";"yes"
"Rihanna Featuring Calvin Harris - We Found Love";2;"no";"no"
"Taylor Swift - We Are Never Ever Getting Back Together";3;"no";"yes"
2013;2013;2013;2013
"Baauer - Harlem Shake";5;"yes";"yes"
"Bruno Mars - Locked Out Of Heaven";4;"no";"no"
"Bruno Mars - When I Was Your Man";1;"no";"no"
"Eminem Featuring Rihanna - The Monster";2;"no";"no"
"Katy Perry - Roar";2;"no";"no"
"Lorde - Royals";9;"yes";"yes"
"Macklemore & Ryan Lewis Featuring Ray Dalton - Can't Hold Us";5;"no";"no"
"Macklemore & Ryan Lewis Featuring Wanz - Thrift Shop";6;"yes";"no"
"Miley Cyrus - Wrecking Ball";3;"no";"no"
"Pink Featuring Nate Ruess - Just Give Me A Reason";3;"no";"no"
"Robin Thicke Featuring T.I. + Pharrell - Blurred Lines";12;"no";"yes"
2014;2014;2014;2014
"Eminem Featuring Rihanna - The Monster";2;"no";"no"
"Iggy Azalea Featuring Charli XCX - Fancy";7;"yes";"yes"
"John Legend - All Of Me";3;"no";"no"
"Katy Perry Featuring Juicy J - Dark Horse";4;"yes";"no"
"MAGIC! - Rude";6;"no";"no"
"Meghan Trainor - All About That Bass";8;"no";"no"
"Pharrell Williams - Happy";10;"no";"no"
"Pitbull Featuring Ke$ha - Timber";3;"no";"no"
"Taylor Swift - Blank Space";5;"yes";"no"
"Taylor Swift - Shake It Off";4;"yes";"no"
2015;2015;2015;2015
"Adele - Hello";7;"no";"no"
"Justin Bieber - What Do You Mean";1;"yes";"no"
"Mark Ronson Featuring Bruno Mars - Uptown Funk!";14;"no";"no"
"OMI - Cheerleader";6;"yes";"no"
"Taylor Swift - Blank Space";2;"yes";"no"
"Taylor Swift Featuring Kendrick Lamar - Bad Blood";1;"no";"no"
"The Weeknd - Can't Feel My Face";3;"no";"no"
"The Weeknd - The Hills";6;"yes";"yes"
"Wiz Khalifa Featuring Charlie Puth - See You Again";12;"yes";"no"
2016;2016;2016;2016
"Adele - Hello";3;"no";"no"
"Desiigner - Panda";2;"yes";"yes"
"Drake Featuring WizKid & Kyla - One Dance";10;"no";"no"
"Justin Bieber - Love Yourself";2;"no";"no"
"Justin Bieber - Sorry";3;"yes";"yes"
"Justin Timberlake - Can't Stop The Feeling!";1;"no";"no"
"Rae Sremmurd Featuring Gucci Mane - Black Beatles";6;"yes";"yes"
"Rihanna Featuring Drake - Work";9;"yes";"yes"
"Sia Featuring Sean Paul - Cheap Thrills";4;"no";"no"
"The Chainsmokers Featuring Halsey - Closer";12;"no";"yes"
"Zayn - Pillowtalk";1;"no";"yes"
